ETS-ID,Year,City,Name,Fueltype,Generation elec. [MWh_el],Generation heat [MWh_th],Capacity factor,Emissions (total) [t],Emissions (elec.) [t],Emissions (heat) [t],Emission factor [t/MWh_el],Utilization ratio [MWh_el/MWh/th]
1399,2016,Bergkamen,Bergkamen,hard coal,2796586.000,,0.445,2823880.000,,,,
1399,2017,Bergkamen,Bergkamen,hard coal,1796371.000,,0.286,1639651.000,,,,
1399,2018,Bergkamen,Bergkamen,hard coal,1741338.000,,0.277,1586512.000,,,,
1399,2019,Bergkamen,Bergkamen,hard coal,740499.000,,0.118,704134.000,,,,
1399,2020,Bergkamen,Bergkamen,hard coal,374569.000,,0.060,348234.000,,,,
1399,2021,Bergkamen,Bergkamen,hard coal,914717.000,,0.146,849908.000,,,,
1399,2022,Bergkamen,Bergkamen,hard coal,2025901.000,,0.323,1989681.000,,,,
1453,2016,Boxberg,Boxberg,lignite,7557272.000,61046.575,0.863,8874695.000,8861003.474,13691.526,1.173,0.339
1453,2017,Boxberg,Boxberg,lignite,7205024.000,58515.792,0.822,8552606.000,8539482.078,13123.922,1.185,0.336
1453,2018,Boxberg,Boxberg,lignite,7434665.000,58518.745,0.849,8791054.000,8777929.416,13124.584,1.181,0.337
1453,2019,Boxberg,Boxberg,lignite,6437597.000,58514.654,0.735,7606935.000,7593811.333,13123.667,1.180,0.337
1453,2020,Boxberg,Boxberg,lignite,5606519.000,58514.807,0.640,6648578.000,6635454.299,13123.701,1.184,0.336
1453,2021,Boxberg,Boxberg,lignite,5855265.000,156287.963,0.668,6974582.000,6939529.736,35052.264,1.185,0.336
1453,2022,Boxberg,Boxberg,lignite,6808790.000,228650.610,0.777,7996566.000,7945284.241,51281.759,1.167,0.341
1454,2016,Boxberg,Boxberg,lignite,9385293.000,0.000,0.729,9696702.000,9696702.000,0.000,1.033,0.385
1454,2017,Boxberg,Boxberg,lignite,10228126.000,34181.569,0.794,10583101.000,10575434.758,7666.242,1.034,0.385
1454,2018,Boxberg,Boxberg,lignite,9852533.000,34186.572,0.765,10209765.000,10202097.636,7667.364,1.035,0.384
1454,2019,Boxberg,Boxberg,lignite,10530045.000,34179.637,0.818,11046608.000,11038942.191,7665.809,1.048,0.380
1454,2020,Boxberg,Boxberg,lignite,8223451.000,17100.984,0.639,8736511.000,8732675.591,3835.409,1.062,0.375
1454,2021,Boxberg,Boxberg,lignite,8302378.000,10409.570,0.645,8559191.000,8556856.342,2334.658,1.031,0.386
1454,2022,Boxberg,Boxberg,lignite,10568909.000,15249.045,0.821,11131400.000,11127979.944,3420.056,1.053,0.378
1460,2016,Boehlen,Lippendorf,lignite,11456750.000,908833.688,0.734,10781907.000,10578073.780,203833.220,0.923,0.403
1460,2017,Boehlen,Lippendorf,lignite,11905637.000,908831.872,0.763,11376121.000,11172288.188,203832.812,0.938,0.396
1460,2018,Boehlen,Lippendorf,lignite,12056399.000,908834.274,0.772,11711105.000,11507271.649,203833.351,0.954,0.389
1460,2019,Boehlen,Lippendorf,lignite,9284477.000,908589.088,0.595,8943673.000,8739894.639,203778.361,0.941,0.395
1460,2020,Boehlen,Lippendorf,lignite,8375104.000,908527.160,0.537,8272543.000,8068778.529,203764.471,0.963,0.386
1460,2021,Boehlen,Lippendorf,lignite,11282373.000,1344485.089,0.723,11051209.000,10749667.884,301541.116,0.953,0.390
1460,2022,Boehlen,Lippendorf,lignite,12131037.000,1966133.644,0.777,11911240.000,11470275.546,440964.454,0.946,0.393
795,2016,Burghausen,Burghausen,NG,0.000,2059861.115,0.000,684752.000,222766.349,461985.651,,0.000
795,2017,Burghausen,Burghausen,NG,0.000,2059858.961,0.000,688971.000,226985.832,461985.168,,0.000
795,2018,Burghausen,Burghausen,NG,0.000,2059861.607,0.000,664276.000,202290.239,461985.761,,0.000
795,2019,Burghausen,Burghausen,NG,0.000,2059859.378,0.000,521038.000,59052.739,461985.261,,0.000
795,2020,Burghausen,Burghausen,NG,0.000,2059862.138,0.000,560948.000,98962.120,461985.880,,0.000
795,2021,Burghausen,Burghausen,NG,0.000,1237276.796,0.000,580468.000,302971.560,277496.440,,0.000
795,2022,Burghausen,Burghausen,NG,0.000,1244473.675,0.000,538142.000,259031.444,279110.556,,0.000
1419,2016,Helmstedt,Buschhaus,lignite,1710289.000,0.000,0.555,1798498.000,1798498.000,0.000,1.052,0.341
